"ISO3","Year","Sector_abb","Disaster_Frequency","Category","Value"
"ARG","2010","Pharma",1,"Export_Domestics",169.111172106931
"ARG","2010","Pharma",1,"Export_Foreign",410.611448816646
"ARG","2010","Pharma",1,"Output_Domestic",1189.96422235845
"ARG","2010","Pharma",1,"Output_Foreign",2203.10462765192
"ARG","2010","RawMaterial",1,"Export_Domestics",159.753322240816
"ARG","2010","RawMaterial",1,"Export_Foreign",35.5181183717311
"ARG","2010","RawMaterial",1,"Output_Domestic",2144.86256667911
"ARG","2010","RawMaterial",1,"Output_Foreign",224.926968234974
"ARG","2010","Recreation",1,"Export_Domestics",32.3631773018803
"ARG","2010","Recreation",1,"Export_Foreign",0.623416671694784
"ARG","2010","Recreation",1,"Output_Domestic",2793.4047777917
"ARG","2010","Recreation",1,"Output_Foreign",53.8215658181834
"ARG","2010","Transportation",1,"Export_Domestics",1669.89130738324
"ARG","2010","Transportation",1,"Export_Foreign",1810.85667169138
"ARG","2010","Transportation",1,"Output_Domestic",20402.4893858693
"ARG","2010","Transportation",1,"Output_Foreign",4458.97776315693
"ARG","2011","Agriculture",0,"Export_Domestics",2244.33794372083
"ARG","2011","Agriculture",0,"Export_Foreign",2.90808094151061
"ARG","2011","Agriculture",0,"Output_Domestic",8047.31628596331
"ARG","2011","Agriculture",0,"Output_Foreign",10.4267812186395
"ARG","2011","Construction",0,"Export_Domestics",0
"ARG","2011","Construction",0,"Export_Foreign",0
"ARG","2011","Construction",0,"Output_Domestic",8372.71755902064
"ARG","2011","Construction",0,"Output_Foreign",932.003664507949
"ARG","2011","Education",0,"Export_Domestics",4.27600213912799
"ARG","2011","Education",0,"Export_Foreign",0.00401100873593634
"ARG","2011","Education",0,"Output_Domestic",3289.81278484479
"ARG","2011","Education",0,"Output_Foreign",3.08677978125482
"ARG","2011","Electronic",0,"Export_Domestics",74.0832564575198
"ARG","2011","Electronic",0,"Export_Foreign",80.7199684313228
"ARG","2011","Electronic",0,"Output_Domestic",1189.93993080416
"ARG","2011","Electronic",0,"Output_Foreign",1572.656731886
"ARG","2011","Energy",0,"Export_Domestics",275.062634419121
"ARG","2011","Energy",0,"Export_Foreign",166.294083192015
"ARG","2011","Energy",0,"Output_Domestic",18564.1834442995
"ARG","2011","Energy",0,"Output_Foreign",7074.90588719331
"ARG","2011","Food",0,"Export_Domestics",3123.45114076466
"ARG","2011","Food",0,"Export_Foreign",403.486647860693
"ARG","2011","Food",0,"Output_Domestic",19806.2452378971
"ARG","2011","Food",0,"Output_Foreign",1454.60004792251
"ARG","2011","HumanActivities",0,"Export_Domestics",180.863233220914
"ARG","2011","HumanActivities",0,"Export_Foreign",143.252709226734
"ARG","2011","HumanActivities",0,"Output_Domestic",12665.619548915
"ARG","2011","HumanActivities",0,"Output_Foreign",949.899853034222
"ARG","2011","Machinery",0,"Export_Domestics",95.9104540929671
"ARG","2011","Machinery",0,"Export_Foreign",114.644312732011
"ARG","2011","Machinery",0,"Output_Domestic",2161.50544276902
"ARG","2011","Machinery",0,"Output_Foreign",1043.19313242513
"ARG","2011","Manufacturing",0,"Export_Domestics",321.587858284622
"ARG","2011","Manufacturing",0,"Export_Foreign",35.675498025019
"ARG","2011","Manufacturing",0,"Output_Domestic",7082.92221323684
"ARG","2011","Manufacturing",0,"Output_Foreign",338.722521092322
"ARG","2011","Mining",0,"Export_Domestics",7.73715639128525
"ARG","2011","Mining",0,"Export_Foreign",10.7077919087103
"ARG","2011","Mining",0,"Output_Domestic",1858.80490269321
"ARG","2011","Mining",0,"Output_Foreign",287.137572555516
"ARG","2011","Pharma",0,"Export_Domestics",203.53645542013
"ARG","2011","Pharma",0,"Export_Foreign",389.619519130829
"ARG","2011","Pharma",0,"Output_Domestic",1434.72011927282
"ARG","2011","Pharma",0,"Output_Foreign",2090.30725869693
"ARG","2011","RawMaterial",0,"Export_Domestics",162.399689081703
"ARG","2011","RawMaterial",0,"Export_Foreign",37.0004148005955
"ARG","2011","RawMaterial",0,"Output_Domestic",2356.01811662475
"ARG","2011","RawMaterial",0,"Output_Foreign",252.073456587172
